1,Feature Importances
Age,0.233640829150547
EstimatedSalary,0.16786682135769118
CreditScore,0.1582330634665098
NumOfProducts,0.13684059596028716
Balance,0.11688488423861859
Tenure,0.07510844398470339
IsActiveMember,0.04576512973092809
Is_Germany,0.024481082785969565
Is_Female,0.010892163777085198
HasCrCard,0.010339683594221081
Is_France,0.007771496457986357
Is_Male,0.0071863967778253626
Is_Spain,0.004989408717627203
